"","marker","patient_id","group","Expression","signif","marker_title"
"354","CD9","RPs137B","RP",4.52720097330924,"***","CD9 ***"
"355","CD9","RPs138B","MP",4.27084159661856,"***","CD9 ***"
"356","CD9","RPs138B","RP",5.09095628204189,"***","CD9 ***"
"357","CD9","RPs139B","MP",3.88467942595215,"***","CD9 ***"
"358","CD9","RPs139B","RP",4.62139433672563,"***","CD9 ***"
"359","CD9","RPs144B","MP",4.28001033019608,"***","CD9 ***"
"360","CD9","RPs144B","RP",5.03084710876384,"***","CD9 ***"
"361","CD9","RPs097B","MP",3.49004390943398,"***","CD9 ***"
"362","CD9","RPs097B","RP",4.16992645282992,"***","CD9 ***"
"363","CD9","RPs098B","MP",4.23897276639369,"***","CD9 ***"
"364","CD9","RPs098B","RP",4.98466585673633,"***","CD9 ***"
"365","CD9","RPs103B","MP",4.13574216560884,"***","CD9 ***"
"366","CD9","RPs103B","RP",4.7323904664634,"***","CD9 ***"
"367","CD9","RPS111B","MP",3.58009047773038,"***","CD9 ***"
"368","CD9","RPS111B","RP",4.34292419873713,"***","CD9 ***"
"369","CD9","RPS136B","MP",4.31170532862676,"***","CD9 ***"
"370","CD9","RPS136B","RP",5.07241155156326,"***","CD9 ***"
"371","CD9","RPs150B","MP",3.83526603028036,"***","CD9 ***"
"372","CD9","RPs150B","RP",4.57697848862218,"***","CD9 ***"
"373","CD9","RPs154B","MP",4.03979657847779,"***","CD9 ***"
"374","CD9","RPs154B","RP",4.81151705929068,"***","CD9 ***"
"375","DNA1","RPs137B","MP",2.33928310062036,"***","DNA1 ***"
"376","DNA1","RPs137B","RP",3.3864974698786,"***","DNA1 ***"
"377","DNA1","RPs138B","MP",2.48098837737649,"***","DNA1 ***"
"378","DNA1","RPs138B","RP",3.72777366306964,"***","DNA1 ***"
"379","DNA1","RPs139B","MP",1.88907707391955,"***","DNA1 ***"
"380","DNA1","RPs139B","RP",2.84112419928328,"***","DNA1 ***"
"381","DNA1","RPs144B","MP",2.07816408351537,"***","DNA1 ***"
